artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
FAVORITE (페이버릿),-0.011413705583756343,0.16802169041659637,0.49310112269286643,12,5,2012,2024,0.3065,0.193,-0.11349999999999999
FIESTAR (피에스타),-0.019768196721311478,0.32607732887049923,0.23655254767070547,19,6,2012,2021,0.4105,0.133,-0.27749999999999997
G.NA (지나),0.06537639344262296,0.8387380725323694,0.010329588975710862,16,6,2011,2020,0.0,0.6495,0.6495
GFRIEND (여자친구),0.003814179499301341,0.020628488473859972,0.656087808542144,93,12,2013,2026,0.242,0.115,-0.127
GHOST9 (고스트나인),0.039675000000000016,0.4192739310042344,0.5516177419598068,19,3,2020,2022,0.2984,0.37775000000000003,0.07935000000000003
GOT7 (갓세븐),0.006718726407427996,0.04936130740810266,0.46567138463675284,155,13,2012,2025,0.39916666666666667,0.37999999999999995,-0.01916666666666672
GRAY,0.03508961038961039,0.34052009037360464,0.3016495045118869,12,5,2015,2022,0.239,0.5880000000000001,0.3490000000000001
Gain (가인),0.038241379310344825,0.6219914963887219,0.06227470488144774,11,6,2012,2020,0.22566666666666668,0.479,0.2533333333333333
Girls Planet 999,0.0607982142857143,0.6089017076063352,0.11944272258239974,47,5,2021,2025,0.312,0.534,0.22200000000000003
Girls in the Park (GWSN/공원소녀),0.07449999999999998,0.9201724209391966,0.04074381892051559,30,4,2018,2021,0.18500000000000003,0.38799999999999996,0.20299999999999993
Girls’ Generation (소녀시대/少女時代),-0.007887707981116559,0.09374816596911083,0.2670458265606266,158,15,2010,2025,0.23416666666666666,0.23,-0.004166666666666652
Girls’ Generation-TTS (소녀시대-태티서),0.022392857142857155,0.6408472056493417,0.4091035637250106,11,3,2012,2015,0.205,0.2625,0.05750000000000002
Girl’s Day (걸스데이),0.013451260362444576,0.23176057600240896,0.1589042123739911,50,10,2010,2023,0.048666666666666664,0.199,0.15033333333333335
Golden Child (골든차일드),0.008571012849584284,0.06036244065163142,0.5575377707404707,68,8,2017,2024,0.1742,0.165,-0.009199999999999986
H1-KEY (하이키),0.00832142857142859,0.01206555368735274,0.9299301843883574,21,3,2022,2024,0.4365,0.4531428571428572,0.01664285714285718
HA:TFELT (핫펠트/예은),0.013338832006067503,0.10303715378630889,0.43820116353621735,18,8,2012,2024,0.4195,0.586,0.16649999999999998
Ha Hyunsang (하현상),-0.007988571428571433,0.021861975643365984,0.8521420423400689,38,4,2021,2024,0.08800000000000001,0.049,-0.03900000000000001
Ha Sungwoon (하성운),-0.01925772397891963,0.3403900557768218,0.1691144709305041,54,7,2014,2024,0.445,0.25683333333333336,-0.18816666666666665
Heize (헤이즈),-0.032386720867208674,0.43921276123504666,0.07328660712614805,37,8,2013,2023,0.494,0.0,-0.494
I.O.I (아이오아이),-0.13620454545454547,0.7500000000000001,0.3333333333333332,24,3,2016,2018,0.27240909090909093,0.0,-0.27240909090909093
ICHILLIN’ (아이칠린),0.0010000000000000009,8.39771582129662e-05,0.9941659951122532,10,3,2021,2023,0.623,0.625,0.0020000000000000018
IMFACT (임팩트),-0.06559302325581393,0.6671293433173754,0.09151294404104542,13,5,2016,2021,0.34933333333333333,0.003,-0.3463333333333333
INFINITE (인피니트),0.010799436078084475,0.09503891307392334,0.26360960758721225,137,15,2010,2025,0.1965,0.119,-0.07750000000000001
