artist,slope_per_year,r_squared,p_value,n_songs,n_years_active,first_year,last_year,start_pct,end_pct,total_change
GRAY,0.03773051948051949,0.39660581312519233,0.2548713208265202,12,5,2015,2022,0.2515,0.6055,0.35400000000000004
Gain (가인),0.03915517241379311,0.6227704709394402,0.06199505779427425,11,6,2012,2020,0.24233333333333332,0.528,0.28566666666666674
Girls Planet 999,0.06751190476190476,0.7139421591402407,0.07155992332764351,47,5,2021,2025,0.3358333333333334,0.594,0.2581666666666666
Girls in the Park (GWSN/공원소녀),0.07296538461538461,0.9680317921898892,0.01611393332871658,30,4,2018,2021,0.2041666666666667,0.41133333333333333,0.20716666666666664
Girls’ Generation (소녀시대/少女時代),-0.009003678822817012,0.11046031570071557,0.2261560843225549,158,15,2010,2025,0.262,0.247,-0.015000000000000013
Girls’ Generation-TTS (소녀시대-태티서),0.003702380952380946,0.0689131120945106,0.8308974305561241,11,3,2012,2015,0.269,0.27225,0.003249999999999975
Girl’s Day (걸스데이),0.012269901516612045,0.18935422143652997,0.20880180492406464,50,10,2010,2023,0.048666666666666664,0.199,0.15033333333333335
Golden Child (골든차일드),0.013895143613000751,0.16546313966891105,0.31725914201228955,68,8,2017,2024,0.1804,0.2285,0.048100000000000004
H1-KEY (하이키),0.008964285714285702,0.012088088114782314,0.9298645156305247,21,3,2022,2024,0.459,0.4769285714285714,0.017928571428571405
HA:TFELT (핫펠트/예은),0.012935305271141447,0.09516542477720344,0.457232411114901,18,8,2012,2024,0.4315,0.586,0.15449999999999997
Ha Hyunsang (하현상),-0.009894285714285717,0.030420935859676455,0.8255840148963506,38,4,2021,2024,0.09066666666666667,0.049,-0.04166666666666667
Ha Sungwoon (하성운),-0.018477322134387353,0.30504436072119295,0.1985759513815754,54,7,2014,2024,0.448,0.26766666666666666,-0.18033333333333335
Heize (헤이즈),-0.03281537940379404,0.4490683293444553,0.06900255227653691,37,8,2013,2023,0.498,0.0,-0.498
I.O.I (아이오아이),-0.14938636363636362,0.7499999999999999,0.3333333333333333,24,3,2016,2018,0.29877272727272725,0.0,-0.29877272727272725
ICHILLIN’ (아이칠린),0.00037500000000001416,1.6872342606040824e-05,0.9973850159936875,10,3,2021,2023,0.626,0.62675,0.0007500000000000284
IMFACT (임팩트),-0.0694988372093023,0.6873351334736183,0.08263232018450077,13,5,2016,2021,0.3753333333333333,0.006,-0.3693333333333333
INFINITE (인피니트),0.01205277031055972,0.12197271599020584,0.20198421771822883,137,15,2010,2025,0.20350000000000001,0.123,-0.08050000000000002
ITZY (있지),0.029185457516339865,0.4387291084998073,0.1049859244112195,76,7,2019,2025,0.525,0.7145,0.1895
IU (아이유),-0.0017150630117414318,0.010618296264554874,0.7259277785276879,72,14,2011,2025,0.08099999999999999,0.0,-0.08099999999999999
IVE (아이브),0.06309380952380952,0.5345358247074716,0.09872544693848162,51,6,2021,2026,0.3175,0.74025,0.42274999999999996
IZ*ONE (아이즈원),-0.001718749999999991,0.0008815880125013461,0.9810949951478953,48,3,2018,2020,0.3063125,0.302875,-0.0034374999999999822
JBJ,0.057076923076923074,0.9789505778969615,0.010580686515084483,15,4,2015,2022,0.024,0.438,0.414
JYJ (제이와이제이),-0.043614475259377485,0.3360660918697491,0.06158171933014242,29,11,2011,2023,0.21685714285714286,0.0,-0.21685714285714286
Jaejoong/Kim Jaejoong (김재중/ジェジュン),-0.02003521126760563,0.11920932267634142,0.3628070596114494,15,9,2010,2024,0.706,0.321,-0.38499999999999995
Jay Park (박재범),-0.0007604166666666731,0.002565960960365869,0.9141151536089118,23,7,2012,2022,0.30783333333333335,0.4206,0.11276666666666663
Jeon Soyeon (전소연),0.017632600502512565,0.14806199940302756,0.3940291098648994,17,7,2010,2024,0.373,0.635,0.262
Jeong Sewoon,0.018007593795093795,0.1539343144932312,0.2962821820666186,41,9,2017,2025,0.13933333333333334,0.328,0.18866666666666668
Jessi (제시),0.027579084967320262,0.4068419479473218,0.08883193582440146,22,8,2015,2025,0.478,0.6825,0.20450000000000002
Jessica (제시카),0.032511584864272004,0.33290771045599304,0.08075545080716726,27,10,2011,2025,0.0,1.0,1.0
Jewelry (쥬얼리),-0.00013095238095235464,4.957492167774948e-06,0.9977734573510092,10,4,2011,2016,0.5954999999999999,0.56,-0.035499999999999865
Jiyeon (지연),-0.006489631366569638,0.07966247673688842,0.32823345492482037,122,14,2010,2025,0.42560000000000003,0.112,-0.31360000000000005
Jo Yuri (조유리),-0.0010942857142857128,0.0006571794997754225,0.9743644875265693,21,4,2021,2025,0.25366666666666665,0.2565,0.0028333333333333544
Jonghyun (종현),0.01340836824987843,0.5136025795020744,0.0026446538880249,360,15,2010,2024,0.21739999999999998,0.44336363636363635,0.22596363636363637
Jun Hyo Seong (전효성),-0.005422413793103452,0.008560313664379423,0.82750879791526,12,8,2012,2021,0.07,0.127,0.056999999999999995
Juniel (주니엘),-0.029841853512705532,0.8284953825507115,0.03185565254192885,11,5,2012,2022,0.36660000000000004,0.008,-0.35860000000000003
K.Will (케이윌),-0.0017752087347463067,0.005066164065721813,0.8556101935257502,23,9,2012,2025,0.037,0.259,0.222
KARA (카라),-0.012570898422320665,0.13311219722328896,0.19962461509983967,54,14,2010,2025,0.5326666666666667,0.1995,-0.3331666666666667
KARD (카드),0.04847283913565427,0.8043941404859037,0.002533715071705861,44,8,2014,2023,0.364,0.666,0.30200000000000005
KEEMBO (킴보),0.03262631578947368,0.728664398880282,0.14638158473455948,13,4,2013,2021,0.04,0.2446,0.2046
KISS OF LIFE (키스 오브 라이프),0.06490384615384613,0.9203237789108749,0.18217464762330118,20,3,2020,2024,0.5095000000000001,0.7911666666666667,0.2816666666666666
KNK (크나큰),0.01661770014556041,0.2712762567646352,0.10043201319363375,25,11,2010,2024,0.231,0.426,0.19499999999999998
Kang Daniel (강다니엘),-0.006711251758087202,0.0609605758162224,0.5555288638456293,34,8,2013,2024,0.376,0.218,-0.158
Kang Seung Yoon (강승윤),0.026043378995433797,0.32910948964025183,0.6110301148745098,18,3,2013,2022,0.12033333333333333,0.505,0.38466666666666666
Kassy (케이시),-0.005928015564202333,0.0733156366342471,0.6037728810422511,10,6,2015,2023,0.0235,0.013,-0.0105
Kim Donghan (김동한),-0.00011607142857142967,4.750398864851523e-05,0.9931076862630526,14,4,2016,2026,0.398,0.372,-0.026000000000000023
Kim Sunggyu (김성규),-0.010494976943346508,0.1431031629551723,0.28108897635266744,35,10,2012,2026,0.2305,0.0,-0.2305
Kwon Eunbi (권은비),0.1132181818181818,0.8631529175795594,0.02243842711502105,22,5,2021,2025,0.14900000000000002,0.586,0.43699999999999994
Kyuhyun (규현),-0.00254935978328538,0.06906291020720846,0.46321302273830756,32,10,2010,2023,0.014,0.0,-0.014
LABOUM (라붐),-0.011316702052370843,0.22262834864153988,0.23784439242681957,37,8,2014,2022,0.154,0.023,-0.131
LE SSERAFIM (르세라핌),-0.015044166666666681,0.09000614110671899,0.6999897649967272,36,4,2022,2025,0.607875,0.5816666666666667,-0.02620833333333339
LIGHTSUM (라잇썸),0.1426738095238095,0.8508274278690122,0.07759692765634596,16,4,2021,2024,0.233,0.719,0.486
LOONA (LOOΠΔ/이달의 소녀),0.058721645161290324,0.7289724475324239,0.003399883408162457,84,9,2013,2025,0.207,1.0,0.793
LUCY (루시),-0.0005856393606393645,0.00016743832255636528,0.9870602039213763,57,4,2020,2023,0.24690909090909094,0.24158333333333334,-0.005325757575757595
Ladies’ Code (레이디스 코드),0.003961190476190475,0.021398099424155218,0.7296108763735195,23,8,2013,2025,0.3501666666666667,0.177,-0.1731666666666667
Lee Hi (이하이),0.009586770428015564,0.06683999395478475,0.4427186387636679,24,11,2012,2026,0.18633333333333335,0.582,0.3956666666666666
Lee Hyori (이효리),0.01659955118411001,0.14418823527681912,0.3134610355696722,20,9,2010,2024,0.0,0.167,0.167
Lim Kim/Kim Yerim (김예림),0.01694155290102389,0.3283263630621985,0.08336932981355549,25,10,2012,2024,0.067,0.383,0.316
Loco (로꼬),-0.004749221183800623,0.0126556371166534,0.757003028893048,15,10,2012,2024,0.088,0.008,-0.07999999999999999
Lovelyz (러블리즈),-0.0013700593310005903,0.0023696417186023235,0.8687434752364,85,14,2011,2025,0.136,0.041,-0.095
Luna (루나),0.021342505854800933,0.16996808356359522,0.35803664475868713,16,7,2013,2020,0.083,0.323,0.24
M.I.B (엠아이비),-0.010140981735159815,0.045790312857427046,0.729637487339743,10,5,2011,2018,0.585,0.442,-0.14299999999999996
MAMAMOO (마마무),0.014869076915809723,0.12283923351248571,0.2192338866916468,166,14,2011,2026,0.333,1.0,0.667
MBLAQ (엠블랙),-0.018489298462883372,0.33124629087899227,0.08169508513075346,54,10,2010,2024,0.3981666666666667,0.032,-0.36616666666666675
MCND,0.019374999999999976,0.14431326242865547,0.7519265288681385,27,3,2020,2022,0.37400000000000005,0.41275,0.03874999999999995
MIRAE (미래소년),0.065625,0.8872306386558407,0.05807078893589845,23,4,2021,2024,0.42183333333333334,0.618,0.19616666666666666
MOMOLAND (모모랜드),0.08739285714285712,0.9584315960692549,0.0006571689354956002,30,6,2017,2022,0.17300000000000001,0.6295,0.4564999999999999
MONSTA X (몬스타엑스),0.055831346301413204,0.7531677705459864,0.00025317218663947516,219,12,2013,2025,0.1,0.5880666666666666,0.48806666666666665
N.Flying (엔플라잉),-0.03162656641604011,0.5258932331573443,0.04178058632993964,26,8,2016,2024,0.327,0.208,-0.11900000000000002
NATURE (네이처),0.03163793103448276,0.42975235266352285,0.22971680725360963,25,5,2018,2024,0.3413333333333333,0.528,0.1866666666666667
NCT,-0.016030722847031435,0.10727398969985441,0.3254967256602149,85,11,2012,2025,0.586,0.06875,-0.51725
NCT 127 (엔시티 127),0.0047055303030303,0.07002992502157525,0.4316416442237473,96,11,2016,2026,0.398625,0.356,-0.042625000000000024
NCT DREAM (엔시티 드림),0.02586149877899878,0.34275373544830956,0.09766735309962152,65,9,2016,2024,0.311,0.6538,0.34280000000000005
NINE.i (나인아이),-0.024450000000000024,0.1052882557764758,0.7896203788419217,17,3,2022,2024,0.5509000000000001,0.502,-0.048900000000000055
NMIXX (엔믹스),0.06515384615384615,0.8571037214907421,0.07420103613649352,32,4,2022,2025,0.5491666666666667,0.7625,0.21333333333333326
NTX (엔티엑스),0.004055442176870737,0.02183110123652421,0.7799825382620351,22,6,2020,2025,0.44766666666666666,0.49157142857142855,0.04390476190476189
NU’EST (뉴이스트),0.001983302773859896,0.0040240496609279,0.8294245448656721,103,14,2011,2025,0.4305,0.629,0.1985
NewJeans (뉴진스),-0.017066666666666674,0.36172494935872795,0.5891911744303506,20,3,2022,2024,0.6108,0.5766666666666667,-0.03413333333333335
Nine Muses/9MUSES (나인뮤지스),-0.009093880753138071,0.1050155775974476,0.4335846303808151,42,8,2011,2024,0.51,0.278,-0.23199999999999998
OH MY GIRL (오마이걸),-0.010010996846290966,0.06836356813898083,0.41171116229259197,138,12,2013,2024,0.262,0.40525,0.14325
ONEUS (원어스),0.0017174294171220347,0.0009215271408872875,0.9484886662380527,70,7,2017,2024,0.554,0.533,-0.02100000000000002
ONEWE (원위),0.047299999999999995,0.36279592729089893,0.5884819256007012,14,3,2019,2021,0.004,0.0986,0.09459999999999999
ONF (온앤오프),-0.007393631897203325,0.12037380262219949,0.3997893894211701,74,8,2017,2024,0.31916666666666665,0.2677777777777778,-0.05138888888888887
ORANGE CARAMEL (오렌지 카라멜),0.004454792626728111,0.0300817841361288,0.7424471917140215,26,6,2010,2021,0.0538,0.201,0.1472
OnlyOneOf (온리원오브),-0.03262222222222224,0.17252330739908628,0.5846407489906043,44,4,2020,2023,0.543,0.374,-0.16900000000000004
P1Harmony (피원하모니),0.08120966386554625,0.8502561800034218,0.008867739936685664,61,6,2020,2025,0.371,0.8592500000000001,0.4882500000000001
PENTAGON (펜타곤),0.005807605794781587,0.025277482146440624,0.6608703830791316,121,10,2013,2024,0.13,0.017,-0.113
PHANTOM (팬텀),0.01588852813852814,0.7253899698170168,0.14830171432776923,11,4,2012,2023,0.2065,0.327,0.12050000000000002
PRISTIN (프리스틴),0.0011349999999999971,0.0001621635699925515,0.9837865652264813,25,5,2016,2024,0.15100000000000002,0.122,-0.029000000000000026
PSY (싸이),-0.022803409090909086,0.14045213111602295,0.4074937274092428,13,7,2012,2023,0.13274999999999998,0.125,-0.007749999999999979
PURPLE KISS (퍼플키스),0.03384982017982019,0.1360040417433974,0.4718973916599492,49,6,2020,2025,0.297,0.327,0.030000000000000027
Park Jihoon (박지훈),-0.0010440740740740694,0.027102963647806146,0.7913376003979634,54,5,2019,2023,0.3355,0.3254,-0.010099999999999998
RIIZE (라이즈),-0.034483333333333324,0.07361951615983561,0.7286708342993042,12,4,2023,2026,0.7215,0.685,-0.03649999999999998
ROMEO (로미오),0.007518219461697725,0.04394858192658919,0.6901479159615707,19,6,2015,2024,0.453,0.346,-0.10700000000000004
RaNia/BP RANIA (라니아),-0.04221985157699442,0.5844527375099607,0.13224024730992476,19,5,2011,2018,0.6194999999999999,0.304,-0.31549999999999995
Rain (비),-0.009779929577464787,0.03623085998324048,0.7179320791412396,15,6,2014,2022,0.3265,0.1635,-0.163
Raina (레이나),-0.006358870627897177,0.06926671658755615,0.49383405758727705,19,9,2012,2024,0.20400000000000001,0.0,-0.20400000000000001
Rainbow (레인보우),-0.013072533369408374,0.11884334915218206,0.32930003127426277,35,10,2010,2020,0.4625,0.371,-0.09150000000000003
Ravi (라비),0.02899285714285715,0.22309411477504418,0.3441942470671402,24,6,2017,2022,0.112,0.278,0.16600000000000004
Red Velvet (레드벨벳),0.011971185042064169,0.10122331789279682,0.28942295234080095,190,13,2013,2025,0.022,0.039,0.017
Rocket Punch (로켓펀치),0.05292190476190475,0.4970362972098967,0.11769526769356746,31,6,2019,2024,0.391,0.62,0.22899999999999998
SATURDAY (세러데이),-0.021581761006289307,0.11713486073902132,0.5728974788824649,11,5,2018,2024,0.069,0.061,-0.008000000000000007
SEVENTEEN (세븐틴),0.011297191721151886,0.30814126404740094,0.061000398098580724,194,12,2013,2025,0.30325,0.3748095238095238,0.0715595238095238
SF9 (에스에프나인),0.024358177882723337,0.507356414808769,0.013916911101789609,92,11,2015,2025,0.358,0.58,0.22199999999999998
SISTAR (씨스타),-0.012693627824320892,0.2422209598786042,0.1040879806996642,78,12,2010,2023,0.29675,0.296,-0.0007500000000000284
SONAMOO (소나무),-0.00900797872340426,0.03233676364416658,0.6996326938846649,19,7,2014,2022,0.365,0.159,-0.206
SPEED (스피드),-0.014164936102236422,0.35912543083320553,0.15501176389122567,14,7,2010,2024,0.308,0.0,-0.308
